"filename", "language", "JSON", "JavaScript", "comment", "blank", "total"
"/Users/meta/Desktop/Leads/LeadGenerator/antropic/index.js", "JavaScript", 0, 132, 17, 29, 178
"/Users/meta/Desktop/Leads/LeadGenerator/antropic/package.json", "JSON", 18, 0, 0, 1, 19
"/Users/meta/Desktop/Leads/LeadGenerator/batchprocessantropic/index.js", "JavaScript", 0, 81, 13, 17, 111
"/Users/meta/Desktop/Leads/LeadGenerator/batchprocessantropic/package.json", "JSON", 9, 0, 0, 0, 9
"/Users/meta/Desktop/Leads/LeadGenerator/batchprocessgpt/index.js", "JavaScript", 0, 91, 13, 17, 121
"/Users/meta/Desktop/Leads/LeadGenerator/batchprocessgpt/package.json", "JSON", 9, 0, 0, 0, 9
"/Users/meta/Desktop/Leads/LeadGenerator/chatgpt/index.js", "JavaScript", 0, 173, 9, 13, 195
"/Users/meta/Desktop/Leads/LeadGenerator/chatgpt/package.json", "JSON", 18, 0, 0, 0, 18
"/Users/meta/Desktop/Leads/LeadGenerator/chatgpt/scrap.js", "JavaScript", 0, 74, 9, 12, 95
"/Users/meta/Desktop/Leads/LeadGenerator/gathercomp/index.js", "JavaScript", 0, 196, 17, 38, 251
"/Users/meta/Desktop/Leads/LeadGenerator/gathercomp/package.json", "JSON", 10, 0, 0, 0, 10
"/Users/meta/Desktop/Leads/LeadGenerator/getdetails/index.js", "JavaScript", 0, 99, 21, 22, 142
"/Users/meta/Desktop/Leads/LeadGenerator/getdetails/package.json", "JSON", 10, 0, 0, 0, 10
"/Users/meta/Desktop/Leads/LeadGenerator/sendletters/index.js", "JavaScript", 0, 85, 9, 13, 107
"/Users/meta/Desktop/Leads/LeadGenerator/sendletters/package.json", "JSON", 13, 0, 0, 1, 14
"Total", "-", 87, 931, 108, 163, 1289